time,rain_sum,city
2019-06-01,3.4,"NG,Abuja"
2019-06-02,1.6,"NG,Abuja"
2019-06-03,4.0,"NG,Abuja"
2019-06-04,2.1,"NG,Abuja"
2019-06-05,10.9,"NG,Abuja"
2019-06-06,18.5,"NG,Abuja"
2019-06-07,3.7,"NG,Abuja"
2019-06-08,13.8,"NG,Abuja"
2019-06-09,6.8,"NG,Abuja"
2019-06-10,5.3,"NG,Abuja"
2019-06-11,3.3,"NG,Abuja"
2019-06-12,4.9,"NG,Abuja"
2019-06-13,10.9,"NG,Abuja"
2019-06-14,1.1,"NG,Abuja"
2019-06-15,0.2,"NG,Abuja"
2019-06-16,6.4,"NG,Abuja"
2019-06-17,0.2,"NG,Abuja"
2019-06-18,0.1,"NG,Abuja"
2019-06-19,3.3,"NG,Abuja"
2019-06-20,4.9,"NG,Abuja"
2019-06-21,4.2,"NG,Abuja"
2019-06-22,4.8,"NG,Abuja"
2019-06-23,1.6,"NG,Abuja"
2019-06-24,1.8,"NG,Abuja"
2019-06-25,1.9,"NG,Abuja"
2019-06-26,1.7,"NG,Abuja"
2019-06-27,0.8,"NG,Abuja"
2019-06-28,10.3,"NG,Abuja"
2019-06-29,1.4,"NG,Abuja"
2019-06-30,3.9,"NG,Abuja"
2019-07-01,4.8,"NG,Abuja"
2019-07-02,4.2,"NG,Abuja"
2019-07-03,5.0,"NG,Abuja"
2019-07-04,12.6,"NG,Abuja"
2019-07-05,23.5,"NG,Abuja"
2019-07-06,1.7,"NG,Abuja"
2019-07-07,10.6,"NG,Abuja"
2019-07-08,18.7,"NG,Abuja"
2019-07-09,10.3,"NG,Abuja"
2019-07-10,6.9,"NG,Abuja"
2019-07-11,13.3,"NG,Abuja"
2019-07-12,1.7,"NG,Abuja"
2019-07-13,0.9,"NG,Abuja"
2019-07-14,6.2,"NG,Abuja"
2019-07-15,5.7,"NG,Abuja"
2019-07-16,5.2,"NG,Abuja"
2019-07-17,0.1,"NG,Abuja"
2019-07-18,27.0,"NG,Abuja"
2019-07-19,8.2,"NG,Abuja"
2019-07-20,10.0,"NG,Abuja"
2019-07-21,0.1,"NG,Abuja"
2019-07-22,5.3,"NG,Abuja"
2019-07-23,10.0,"NG,Abuja"
2019-07-24,2.0,"NG,Abuja"
2019-07-25,17.5,"NG,Abuja"
2019-07-26,4.5,"NG,Abuja"
2019-07-27,1.0,"NG,Abuja"
2019-07-28,7.3,"NG,Abuja"
2019-07-29,14.2,"NG,Abuja"
2019-07-30,2.1,"NG,Abuja"
2019-07-31,1.7,"NG,Abuja"
2019-08-01,4.3,"NG,Abuja"
2019-08-02,13.1,"NG,Abuja"
2019-08-03,8.2,"NG,Abuja"
2019-08-04,0.1,"NG,Abuja"
2019-08-05,8.1,"NG,Abuja"
2019-08-06,7.4,"NG,Abuja"
2019-08-07,6.7,"NG,Abuja"
2019-08-08,37.3,"NG,Abuja"
2019-08-09,1.6,"NG,Abuja"
2019-08-10,1.9,"NG,Abuja"
2019-08-11,3.8,"NG,Abuja"
2019-08-12,3.4,"NG,Abuja"
2019-08-13,10.7,"NG,Abuja"
2019-08-14,3.1,"NG,Abuja"
2019-08-15,0.6,"NG,Abuja"
2019-08-16,7.7,"NG,Abuja"
2019-08-17,2.6,"NG,Abuja"
2019-08-18,9.7,"NG,Abuja"
2019-08-19,17.6,"NG,Abuja"
2019-08-20,1.5,"NG,Abuja"
2019-08-21,4.5,"NG,Abuja"
2019-08-22,7.4,"NG,Abuja"
2019-08-23,6.9,"NG,Abuja"
2019-08-24,19.5,"NG,Abuja"
2019-08-25,2.8,"NG,Abuja"
2019-08-26,13.2,"NG,Abuja"
2019-08-27,13.2,"NG,Abuja"
2019-08-28,5.4,"NG,Abuja"
